NipWtLsR01	NipWtLsR02	NipWtLsR03	NipWtLsR04	NipWtLsR05	NipWtLsR06	NipWtLsR07	NipWtLsR08	NipWtLsR09	NipWtLsR10	NipWtLsR11	NipWtLsR12	NipWtLsR13	NipWtLsR14	NipWtLsR15	DjWtLsR01	DjWtLsR02	DjWtLsR03	DjWtLsR04	DjWtLsR05	DjWtLsR06	DjWtLsR07	DjWtLsR08	DjWtLsR09	DjWtLsR10	DjWtLsR11	DjWtLsR12	DjWtLsR13	DjWtLsR14	DjWtLsR15	Zh11WtLsR01	Zh11WtLsR02	Zh11WtLsR03	Zh11WtLsR04	Zh11WtLsR05	Zh11WtLsR06	Zh11WtLsR07	Zh11WtLsR08	Zh11WtLsR09	Zh11WtLsR10	Zh11WtLsR11	Zh11WtLsR12	Zh11WtLsR13	Zh11WtLsR14	Zh11WtLsR15
ASV_1649	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_7819	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_10	0.28926719	0.44354094	0.84045956	0.80165503	0.51736749	1.85634446	1.17366511	0.5292343	1.62365286	0.82060141	0.64337445	1.09675024	1.17147408	0.23701064	0.78767929	0.71703917	0.90344438	1.51355157	0.50934293	0.60576923	1.29111872	0.35805627	1.20170868	0.90665762	0.81418491	1.15825753	0.28124065	0.1025641	1.07515712	0.20274751	1.3141568	1.9539213	0.75491257	3.72214156	1.6916851	1.41774981	3.13438213	0.3208797	0.35520128	1.06838028	0.68758745	0.1653407	2.22051895	0.369121	1.67308262
ASV_6066	0.02161192	0.01293661	0.00489588	0.01379191	0.02140831	0.00179704	0.00622084	0.01011276	0.00354509	0.00539869	0.00172025	0.00674923	0.00707839	0.00504278	0.01343589	0.03595182	0.00546438	0.01449365	0.00149367	0.01282051	0.00184182	0.09164535	0.00469417	0.00565483	0.01005167	0.01695011	0.00398923	0.02902758	0.005194	0.01326386	0.03008084	0.0076926	0.00901388	0.02765678	0.00235283	0.00206971	0.00480365	0.00375298	0.12340326	0.01971181	0.0019988	0.00389037	0.00901734	0.00353226	0.01692119
ASV_75	0.00332491	0.00184809	0.0081598	0.00517197	0.00356805	0.01078225	0.02280975	0.00505638	0.00354509	0.00539869	0	0.0202477	0.04954875	0.00336185	0	0.00599197	0.0091073	0.00207052	0	0	0	0	0	0	0.006031	0	0	0.00580552	0	0.00189484	0.00188005	0	0	0	0.00235283	0	0	0.00375298	0.00333522	0.00197118	0	0	0	0	0
ASV_25	0.74976726	1.36758455	1.32025589	1.03784157	0.86168448	1.34957859	1.3125972	0.92531729	2.02779353	0.92677572	0.71906556	0.48425742	1.88816139	1.12285892	0.72889725	0.57123455	1.75588787	0.21947533	1.19643311	0.46153846	0.90249383	0.89727195	0.57973055	1.66251979	1.36702652	0.41433603	0.64625511	0.59216255	1.53396008	0.67266698	1.39687911	0.47117197	0.26140256	1.1661942	0.64232271	1.35565858	0.79980785	0.86318515	0.42357336	0.37452445	0.35978413	1.30521893	0.60190717	2.29066954	0.38495706
ASV_191	0.00332491	0.00184809	0.00979176	0.00517197	0	0	0	0	0.00354509	0	0.00344051	0.00168731	0	0	0	0.00199732	0.00364292	0	0.00448102	0.00480769	0	0	0	0	0.00402067	0.00188335	0.00598384	0	0.00173133	0.00378967	0.00188005	0	0	0.00460946	0	0.00206971	0.00240183	0	0	0	0	0	0	0	0
ASV_24	2.45212129	1.89059324	3.42548469	5.03577278	3.88382424	2.20317358	3.94815967	5.11874062	2.40711855	5.21873707	3.34933168	3.62771235	2.79950451	5.69834093	3.42783245	1.96936106	2.82144223	2.45149802	0.8304829	2.72435897	4.19199175	2.38491049	1.84481059	4.91781648	3.79349858	4.66504699	3.66610153	2.55442671	2.98308489	5.46470867	4.36736229	4.36555252	5.94465477	2.6757934	1.49169451	1.33703121	2.29134142	3.6685369	3.89053797	4.29323293	2.91625025	1.71954327	3.76699204	1.7131453	2.47049368
ASV_5	0.14463359	0.29754204	0.15666819	0.17412292	0.13558596	0.12579294	0.19284603	0.05899108	0.1666194	0.17095863	0.21331131	0.13667195	0.06901433	0.07396077	0.06046152	0.49533625	0.06375112	0.2070522	0.03136716	0.19551282	0.08288209	0.07033248	0.05398301	0.09801704	0.06030999	0.16385107	0.07978458	0.17223029	0.05713395	0.31643771	0.05452153	0.16539098	0.2050658	0.08297034	0.06587925	0.05174269	0.06004563	0.10133043	0.1867725	0.12812679	0.20387767	0.07975257	0.07439302	0.03885484	0.23478151
ASV_16	0.07979785	0.03141748	0.52875514	0.00344798	0.13023389	0.00539113	0.24053914	0	0.05494895	0.01079739	0.15654298	0.33577431	0.25128296	1.0959641	0.13267945	0	0.00546438	0.01656418	0	0.00320513	0	0.01918159	0.00938835	0	0	0	0	0.00580552	0.1194619	0.00189484	0	0	0	0	0	0.00206971	0	0.00187649	0	0	0	0	0.02930634	0	0
ASV_3	1.19863014	2.05322491	0.94816894	1.39125937	1.6163274	10.7517027	3.63504406	1.5455664	3.45114861	3.99683277	5.93315099	2.93422873	2.7127942	0.71943655	2.52930704	3.86282382	1.83238921	8.74795536	1.13668613	2.82211538	3.47920581	1.69011083	2.635779	3.15350976	2.4526064	4.80064787	2.32372594	0.47798742	1.90273377	0.83562293	3.05884565	2.69625755	2.50360555	6.19050912	6.23735354	2.90586969	8.2406629	1.16529996	1.06393623	2.98633971	2.32260644	0.5213095	5.14439009	1.07204041	3.87918271
