PC	Family	jmj703	jmj703_vs_Dj	sdg714	sdg714_vs_ZH11	dcl3a_1	dcl3a_1_vs_Nip	dcl3a_3	dcl3a_3_vs_Nip
ASV_10	Gammaproteobacteria	Aeromonadaceae	-2.247	Depleted	-3.281	Depleted	-1.72	Depleted	-2.419	Depleted
ASV_6066	Bacteroidetes	Unclassified	-0.96	NotSig	-1.969	Depleted	-0.053	NotSig	-0.192	NotSig
ASV_75	Betaproteobacteria	Gallionellaceae	1.12	NotSig	3.703	Enriched	-0.88	NotSig	0.274	NotSig
ASV_191	Actinobacteria	Low_abundance	-1.266	Depleted	-1.236	NotSig	-0.192	NotSig	-0.633	NotSig
ASV_24	Deltaproteobacteria	Cystobacterineae	0.348	NotSig	-0.269	NotSig	0.582	Enriched	0.426	Enriched
ASV_5	Betaproteobacteria	Gallionellaceae	0.411	Enriched	0.212	NotSig	0.202	NotSig	0.752	Enriched
ASV_16	Bacteroidetes	Low_abundance	1.339	NotSig	1.395	NotSig	-1.78	Depleted	-1.724	Depleted
ASV_3	Gammaproteobacteria	Aeromonadaceae	-2.785	Depleted	-2.766	Depleted	-1.99	Depleted	-2.464	Depleted
ASV_38	Firmicutes	Low_abundance	-3.501	Depleted	-2.806	Depleted	-2.499	Depleted	-2.308	Depleted
ASV_334	Bacteroidetes	Low_abundance	-8.171	Depleted	-0.027	NotSig	-3.603	Depleted	-4.12	Depleted
ASV_45	Gammaproteobacteria	Low_abundance	-2.951	Depleted	-3.247	Depleted	-2.803	Depleted	-2.059	Depleted
ASV_61	Deltaproteobacteria	Cystobacterineae	-0.082	NotSig	-1.695	Depleted	-0.763	NotSig	-0.198	NotSig
ASV_2	Betaproteobacteria	Comamonadaceae	0.347	NotSig	1.292	Enriched	0.446	NotSig	0.432	NotSig
ASV_32	Betaproteobacteria	Comamonadaceae	2.219	Enriched	-0.372	NotSig	-0.136	NotSig	0.217	NotSig
ASV_11	Betaproteobacteria	Comamonadaceae	0.354	NotSig	0.527	Enriched	0.195	NotSig	-0.399	NotSig
ASV_22	Bacteroidetes	Low_abundance	0.313	NotSig	-1.388	Depleted	-0.285	NotSig	-0.857	NotSig
ASV_89	Betaproteobacteria	Comamonadaceae	0.66	Enriched	0.194	NotSig	0.513	NotSig	0.462	NotSig
ASV_41	Deltaproteobacteria	Cystobacterineae	-0.159	NotSig	-1.246	Depleted	0.685	Enriched	0.277	NotSig
ASV_738	Gammaproteobacteria	Unclassified	-0.57	NotSig	-1.454	Depleted	-0.589	Depleted	-0.267	NotSig
ASV_40	Spirochaetes	Low_abundance	0.801	Enriched	-0.497	NotSig	-0.586	NotSig	0.034	NotSig
ASV_140	Betaproteobacteria	Comamonadaceae	0.945	Enriched	1.256	Enriched	0.28	NotSig	1.012	NotSig
ASV_27	Betaproteobacteria	Comamonadaceae	1.105	Enriched	-0.429	NotSig	0.45	NotSig	0.475	NotSig
ASV_821	Firmicutes	Low_abundance	-3.624	Depleted	-3.32	Depleted	-1.908	Depleted	-2.608	Depleted
ASV_6628	Gammaproteobacteria	Low_abundance	-4.322	Depleted	-1.175	NotSig	-0.411	NotSig	-2.926	NotSig
ASV_8	Betaproteobacteria	Comamonadaceae	-0.663	Depleted	-1.455	Depleted	-1.074	Depleted	-1.278	Depleted
ASV_138	Alphaproteobacteria	Low_abundance	0.013	NotSig	-1.631	Depleted	-0.662	NotSig	0.425	NotSig
ASV_15	Betaproteobacteria	Sterolibacteriaceae	0.882	Enriched	-0.995	Depleted	0.632	NotSig	0.568	Enriched
ASV_56	Bacteroidetes	Low_abundance	-1.485	Depleted	-1.592	Depleted	-3.848	NotSig	-5.984	Depleted
ASV_35	Betaproteobacteria	Comamonadaceae	0.11	NotSig	-1.209	Depleted	0.772	NotSig	-0.271	NotSig
ASV_1201	Betaproteobacteria	Low_abundance	0.341	NotSig	-2.151	Depleted	0.444	NotSig	0.613	NotSig
ASV_57	Firmicutes	Low_abundance	-2.364	Depleted	-0.989	Depleted	-1.797	Depleted	-2.129	Depleted
ASV_12	Betaproteobacteria	Unclassified	0.921	Enriched	1.79	Enriched	-0.445	NotSig	-0.402	NotSig
ASV_13	Betaproteobacteria	Comamonadaceae	-0.187	NotSig	-1.147	Depleted	-0.313	NotSig	-0.766	Depleted
ASV_820	Bacteroidetes	Low_abundance	-2.161	Depleted	-3.303	Depleted	-1.171	Depleted	-0.998	Depleted
ASV_20	Bacteroidetes	Unclassified	1.753	NotSig	-0.005	NotSig	-2.16	Depleted	-2.472	Depleted
ASV_265	Betaproteobacteria	Azonexaceae	0.83	NotSig	-1.083	Depleted	0.238	NotSig	-0.333	NotSig
ASV_171	Firmicutes	Clostridiaceae1	-0.232	NotSig	-1.357	Depleted	1.114	Enriched	0.631	Enriched
ASV_425	Gammaproteobacteria	Low_abundance	-5.1	Depleted	-2.125	Depleted	-2.616	Depleted	-1.928	Depleted
ASV_30	Betaproteobacteria	Comamonadaceae	-0.304	NotSig	-1.398	Depleted	-0.435	NotSig	-0.594	Depleted
ASV_43	Betaproteobacteria	Comamonadaceae	1.059	Enriched	1.251	Enriched	0.473	NotSig	0.001	NotSig
ASV_9	Betaproteobacteria	Comamonadaceae	0.276	NotSig	-0.476	Depleted	0.033	NotSig	-0.387	NotSig
ASV_188	Low_abundance	Low_abundance	-1.823	Depleted	-2.977	Depleted	-1.154	Depleted	-1.792	Depleted
ASV_993	Betaproteobacteria	Low_abundance	-1.047	NotSig	-1.966	NotSig	-3.387	Depleted	-0.407	NotSig
ASV_122	Gammaproteobacteria	Low_abundance	-3.099	Depleted	-4.386	Depleted	-1.225	Depleted	-1.548	NotSig
ASV_94	Bacteroidetes	Unclassified	0.422	Enriched	-0.105	NotSig	-0.541	Depleted	-0.006	NotSig
ASV_886	Betaproteobacteria	Sterolibacteriaceae	0.628	NotSig	0.235	NotSig	0.813	NotSig	1.209	Enriched
ASV_468	Firmicutes	Low_abundance	-1.272	Depleted	0.2	NotSig	-2.122	Depleted	-1.943	Depleted
ASV_34	Actinobacteria	Low_abundance	-1.171	NotSig	0	NotSig	-2.469	Depleted	-0.721	NotSig
