id	DclMut1	DclMut2	JmjMut	SdgMut
1	ASV_1649	DclMut1LsR_NipWtLsR_N	DclMut2LsR_NipWtLsR_N	JmjMutLsR_DjWtLsR_N	SdgMutLsR_Zh11WtLsR_N
2	ASV_7819	DclMut1LsR_NipWtLsR_N	DclMut2LsR_NipWtLsR_N	JmjMutLsR_DjWtLsR_N	SdgMutLsR_Zh11WtLsR_N
3	ASV_10	DclMut1LsR_NipWtLsR_D	DclMut2LsR_NipWtLsR_D	JmjMutLsR_DjWtLsR_D	SdgMutLsR_Zh11WtLsR_D
4	ASV_6066	DclMut1LsR_NipWtLsR_N	DclMut2LsR_NipWtLsR_N	JmjMutLsR_DjWtLsR_N	SdgMutLsR_Zh11WtLsR_D
5	ASV_75	DclMut1LsR_NipWtLsR_N	DclMut2LsR_NipWtLsR_N	JmjMutLsR_DjWtLsR_N	SdgMutLsR_Zh11WtLsR_E
6	ASV_25	DclMut1LsR_NipWtLsR_N	DclMut2LsR_NipWtLsR_N	JmjMutLsR_DjWtLsR_N	SdgMutLsR_Zh11WtLsR_N
7	ASV_191	DclMut1LsR_NipWtLsR_N	DclMut2LsR_NipWtLsR_N	JmjMutLsR_DjWtLsR_D	SdgMutLsR_Zh11WtLsR_N
8	ASV_24	DclMut1LsR_NipWtLsR_E	DclMut2LsR_NipWtLsR_E	JmjMutLsR_DjWtLsR_N	SdgMutLsR_Zh11WtLsR_N
9	ASV_5	DclMut1LsR_NipWtLsR_N	DclMut2LsR_NipWtLsR_E	JmjMutLsR_DjWtLsR_E	SdgMutLsR_Zh11WtLsR_N
10	ASV_16	DclMut1LsR_NipWtLsR_D	DclMut2LsR_NipWtLsR_D	JmjMutLsR_DjWtLsR_N	SdgMutLsR_Zh11WtLsR_N
11	ASV_3	DclMut1LsR_NipWtLsR_D	DclMut2LsR_NipWtLsR_D	JmjMutLsR_DjWtLsR_D	SdgMutLsR_Zh11WtLsR_D
12	ASV_49	DclMut1LsR_NipWtLsR_N	DclMut2LsR_NipWtLsR_N	JmjMutLsR_DjWtLsR_N	SdgMutLsR_Zh11WtLsR_N
13	ASV_492	DclMut1LsR_NipWtLsR_N	DclMut2LsR_NipWtLsR_N	JmjMutLsR_DjWtLsR_N	SdgMutLsR_Zh11WtLsR_N
14	ASV_38	DclMut1LsR_NipWtLsR_D	DclMut2LsR_NipWtLsR_D	JmjMutLsR_DjWtLsR_D	SdgMutLsR_Zh11WtLsR_D
15	ASV_334	DclMut1LsR_NipWtLsR_D	DclMut2LsR_NipWtLsR_D	JmjMutLsR_DjWtLsR_D	SdgMutLsR_Zh11WtLsR_N
16	ASV_17	DclMut1LsR_NipWtLsR_N	DclMut2LsR_NipWtLsR_N	JmjMutLsR_DjWtLsR_N	SdgMutLsR_Zh11WtLsR_N
17	ASV_45	DclMut1LsR_NipWtLsR_D	DclMut2LsR_NipWtLsR_D	JmjMutLsR_DjWtLsR_D	SdgMutLsR_Zh11WtLsR_D
18	ASV_61	DclMut1LsR_NipWtLsR_N	DclMut2LsR_NipWtLsR_N	JmjMutLsR_DjWtLsR_N	SdgMutLsR_Zh11WtLsR_D
19	ASV_2	DclMut1LsR_NipWtLsR_N	DclMut2LsR_NipWtLsR_N	JmjMutLsR_DjWtLsR_N	SdgMutLsR_Zh11WtLsR_E
20	ASV_6	DclMut1LsR_NipWtLsR_N	DclMut2LsR_NipWtLsR_N	JmjMutLsR_DjWtLsR_N	SdgMutLsR_Zh11WtLsR_N
21	ASV_32	DclMut1LsR_NipWtLsR_N	DclMut2LsR_NipWtLsR_N	JmjMutLsR_DjWtLsR_E	SdgMutLsR_Zh11WtLsR_N
22	ASV_236	DclMut1LsR_NipWtLsR_N	DclMut2LsR_NipWtLsR_N	JmjMutLsR_DjWtLsR_N	SdgMutLsR_Zh11WtLsR_N
23	ASV_5535	DclMut1LsR_NipWtLsR_N	DclMut2LsR_NipWtLsR_N	JmjMutLsR_DjWtLsR_N	SdgMutLsR_Zh11WtLsR_N
24	ASV_11	DclMut1LsR_NipWtLsR_N	DclMut2LsR_NipWtLsR_N	JmjMutLsR_DjWtLsR_N	SdgMutLsR_Zh11WtLsR_E
25	ASV_22	DclMut1LsR_NipWtLsR_N	DclMut2LsR_NipWtLsR_N	JmjMutLsR_DjWtLsR_N	SdgMutLsR_Zh11WtLsR_D
26	ASV_78	DclMut1LsR_NipWtLsR_N	DclMut2LsR_NipWtLsR_N	JmjMutLsR_DjWtLsR_N	SdgMutLsR_Zh11WtLsR_N
27	ASV_371	DclMut1LsR_NipWtLsR_N	DclMut2LsR_NipWtLsR_N	JmjMutLsR_DjWtLsR_N	SdgMutLsR_Zh11WtLsR_N
28	ASV_89	DclMut1LsR_NipWtLsR_N	DclMut2LsR_NipWtLsR_N	JmjMutLsR_DjWtLsR_E	SdgMutLsR_Zh11WtLsR_N
29	ASV_41	DclMut1LsR_NipWtLsR_E	DclMut2LsR_NipWtLsR_N	JmjMutLsR_DjWtLsR_N	SdgMutLsR_Zh11WtLsR_D
30	ASV_738	DclMut1LsR_NipWtLsR_D	DclMut2LsR_NipWtLsR_N	JmjMutLsR_DjWtLsR_N	SdgMutLsR_Zh11WtLsR_D
31	ASV_40	DclMut1LsR_NipWtLsR_N	DclMut2LsR_NipWtLsR_N	JmjMutLsR_DjWtLsR_E	SdgMutLsR_Zh11WtLsR_N
32	ASV_140	DclMut1LsR_NipWtLsR_N	DclMut2LsR_NipWtLsR_N	JmjMutLsR_DjWtLsR_E	SdgMutLsR_Zh11WtLsR_E
33	ASV_14	DclMut1LsR_NipWtLsR_N	DclMut2LsR_NipWtLsR_N	JmjMutLsR_DjWtLsR_N	SdgMutLsR_Zh11WtLsR_N
34	ASV_1841	DclMut1LsR_NipWtLsR_N	DclMut2LsR_NipWtLsR_N	JmjMutLsR_DjWtLsR_N	SdgMutLsR_Zh11WtLsR_N
35	ASV_27	DclMut1LsR_NipWtLsR_N	DclMut2LsR_NipWtLsR_N	JmjMutLsR_DjWtLsR_E	SdgMutLsR_Zh11WtLsR_N
36	ASV_51	DclMut1LsR_NipWtLsR_N	DclMut2LsR_NipWtLsR_N	JmjMutLsR_DjWtLsR_N	SdgMutLsR_Zh11WtLsR_N
37	ASV_821	DclMut1LsR_NipWtLsR_D	DclMut2LsR_NipWtLsR_D	JmjMutLsR_DjWtLsR_D	SdgMutLsR_Zh11WtLsR_D
38	ASV_6628	DclMut1LsR_NipWtLsR_N	DclMut2LsR_NipWtLsR_N	JmjMutLsR_DjWtLsR_D	SdgMutLsR_Zh11WtLsR_N
39	ASV_243	DclMut1LsR_NipWtLsR_N	DclMut2LsR_NipWtLsR_N	JmjMutLsR_DjWtLsR_N	SdgMutLsR_Zh11WtLsR_N
40	ASV_8	DclMut1LsR_NipWtLsR_D	DclMut2LsR_NipWtLsR_D	JmjMutLsR_DjWtLsR_D	SdgMutLsR_Zh11WtLsR_D
41	ASV_138	DclMut1LsR_NipWtLsR_N	DclMut2LsR_NipWtLsR_N	JmjMutLsR_DjWtLsR_N	SdgMutLsR_Zh11WtLsR_D
42	ASV_15	DclMut1LsR_NipWtLsR_N	DclMut2LsR_NipWtLsR_E	JmjMutLsR_DjWtLsR_E	SdgMutLsR_Zh11WtLsR_D
43	ASV_56	DclMut1LsR_NipWtLsR_N	DclMut2LsR_NipWtLsR_D	JmjMutLsR_DjWtLsR_D	SdgMutLsR_Zh11WtLsR_D
44	ASV_35	DclMut1LsR_NipWtLsR_N	DclMut2LsR_NipWtLsR_N	JmjMutLsR_DjWtLsR_N	SdgMutLsR_Zh11WtLsR_D
45	ASV_1201	DclMut1LsR_NipWtLsR_N	DclMut2LsR_NipWtLsR_N	JmjMutLsR_DjWtLsR_N	SdgMutLsR_Zh11WtLsR_D
46	ASV_57	DclMut1LsR_NipWtLsR_D	DclMut2LsR_NipWtLsR_D	JmjMutLsR_DjWtLsR_D	SdgMutLsR_Zh11WtLsR_D
47	ASV_12	DclMut1LsR_NipWtLsR_N	DclMut2LsR_NipWtLsR_N	JmjMutLsR_DjWtLsR_E	SdgMutLsR_Zh11WtLsR_E
48	ASV_3241	DclMut1LsR_NipWtLsR_N	DclMut2LsR_NipWtLsR_N	JmjMutLsR_DjWtLsR_N	SdgMutLsR_Zh11WtLsR_N
49	ASV_13	DclMut1LsR_NipWtLsR_N	DclMut2LsR_NipWtLsR_D	JmjMutLsR_DjWtLsR_N	SdgMutLsR_Zh11WtLsR_D
50	ASV_397	DclMut1LsR_NipWtLsR_N	DclMut2LsR_NipWtLsR_N	JmjMutLsR_DjWtLsR_N	SdgMutLsR_Zh11WtLsR_N
