Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_2	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Curvibacter	Unclassified
ASV_4	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Gallionellaceae	Sideroxydans	Unclassified
ASV_5	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Gallionellaceae	Sideroxydans	Unclassified
ASV_3	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Unclassified
ASV_20	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Unclassified	Unclassified	Unclassified
ASV_6	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Cystobacterineae	Cystobacteraceae	Unclassified
ASV_7	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Sterolibacteriaceae	Georgfuchsia	Unclassified
ASV_33	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Cystobacterineae	Unclassified	Unclassified
ASV_16	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Unclassified
ASV_22	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prolixibacteraceae	Unclassified	Unclassified
ASV_25	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Unclassified	Unclassified
ASV_26	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Unclassified	Unclassified
ASV_32	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Unclassified	Unclassified
ASV_31	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Cystobacterineae	Anaeromyxobacteraceae	Unclassified
ASV_24	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Cystobacterineae	Anaeromyxobacteraceae	Unclassified
ASV_27	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Piscinibacter	Unclassified
ASV_8	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Hydrogenophaga	Unclassified
ASV_28	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Cystobacterineae	Anaeromyxobacteraceae	Unclassified
ASV_12	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Unclassified	Unclassified	Unclassified
ASV_14	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Gallionellaceae	Sideroxydans	Unclassified
ASV_29	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Cystobacterineae	Unclassified	Unclassified
ASV_18	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Sterolibacteriaceae	Georgfuchsia	Unclassified
ASV_9	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Unclassified
ASV_30	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Unclassified	Unclassified
ASV_13	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Unclassified	Unclassified
ASV_11	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Unclassified	Unclassified
ASV_23	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Ideonella	Unclassified
ASV_19	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Unclassified	Unclassified
ASV_15	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Sterolibacteriaceae	Georgfuchsia	Unclassified
ASV_21	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Gallionellaceae	Sideroxydans	Unclassified
ASV_17	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
ASV_10	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Unclassified
ASV_42	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Tolumonas	Unclassified
ASV_47	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Unclassified
ASV_48	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylocystaceae	Methylosinus	Unclassified
ASV_52	Bacteria	Proteobacteria	Gammaproteobacteria	Nevskiales	Steroidobacteraceae	Unclassified	Unclassified
ASV_49	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Unclassified	Unclassified
ASV_35	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Pelomonas	Unclassified
ASV_45	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Unclassified
ASV_46	Bacteria	Actinobacteria	Actinobacteria	Unclassified	Unclassified	Unclassified	Unclassified
ASV_50	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Chromobacteriaceae	Vogesella	Unclassified
ASV_34	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Paenarthrobacter	Unclassified
ASV_55	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Unclassified
ASV_40	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Leptospiraceae	Leptonema	Unclassified
ASV_58	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Unclassified	Unclassified
ASV_36	Bacteria	Proteobacteria	Gammaproteobacteria	Nevskiales	Steroidobacteraceae	Steroidobacter	Unclassified
ASV_56	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Weeksellaceae	Chryseobacterium	Unclassified
ASV_41	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Cystobacterineae	Anaeromyxobacteraceae	Unclassified
ASV_43	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Unclassified	Unclassified
