	NipWtLsRs	DclMut1LsRs	DclMut2LsRs	DjWtLsRs	JmjMutLsRs	Zh11WtLsRs	SdgMutLsRs	NipWtLsR	DclMut1LsR	DclMut2LsR	DjWtLsR	JmjMutLsR	Zh11WtLsR	SdgMutLsR	LsBs
NipWtLsRs	0.0	0.0566652888	0.0680135488	0.0812566633333	0.0701007981333	0.0734113300667	0.0837913821667	0.552449569667	0.550771105267	0.5289611322	0.532748404	0.508315894	0.5290971674	0.520556315933	0.5119231403
DclMut1LsRs	0.0566652888	0.0	0.0720843846667	0.0887430048	0.0752972296	0.0621014734	0.0641563865667	0.560246531933	0.555351887133	0.5358047946	0.543287891867	0.517275551333	0.534384742067	0.525393573467	0.508854551967
DclMut2LsRs	0.0680135488	0.0720843846667	0.0	0.0520524537333	0.0423819481333	0.0718366419333	0.0946959259667	0.592152685533	0.589355511267	0.568095600067	0.572935878	0.5476611624	0.568129305133	0.558255079067	0.505504276367
DjWtLsRs	0.0812566633333	0.0887430048	0.0520524537333	0.0	0.0539302392	0.0666332366	0.114315824367	0.599856363667	0.597342767933	0.576573807267	0.580164737067	0.556193062933	0.575928790867	0.572293607133	0.5141333213
JmjMutLsRs	0.0701007981333	0.0752972296	0.0423819481333	0.0539302392	0.0	0.073789459	0.0945501583	0.5909386698	0.5888154962	0.566939125933	0.5696545916	0.545659243867	0.5686805978	0.557659913067	0.505824688833
Zh11WtLsRs	0.0734113300667	0.0621014734	0.0718366419333	0.0666332366	0.073789459	0.0	0.0988282817667	0.582963362267	0.578104307067	0.558123895067	0.565481363533	0.539254852067	0.554750160133	0.552407326267	0.5386809751
SdgMutLsRs	0.0837913821667	0.0641563865667	0.0946959259667	0.114315824367	0.0945501583	0.0988282817667	0.0	0.5546900487	0.5492951475	0.5304109095	0.5368809591	0.511098069967	0.529308259633	0.514325534567	0.4778412472
NipWtLsR	0.552449569667	0.560246531933	0.592152685533	0.599856363667	0.5909386698	0.582963362267	0.5546900487	0.0	0.147826002533	0.155698539333	0.0984692575333	0.1706503398	0.102087184	0.198840713133	0.729586256167
DclMut1LsR	0.550771105267	0.555351887133	0.589355511267	0.597342767933	0.5888154962	0.578104307067	0.5492951475	0.147826002533	0.0	0.0980555482667	0.1876563374	0.100300148867	0.186408532667	0.147561306067	0.752762564033
DclMut2LsR	0.5289611322	0.5358047946	0.568095600067	0.576573807267	0.566939125933	0.558123895067	0.5304109095	0.155698539333	0.0980555482667	0.0	0.200687481667	0.0797236303333	0.197120950267	0.184811645933	0.746757739167
DjWtLsR	0.532748404	0.543287891867	0.572935878	0.580164737067	0.5696545916	0.565481363533	0.5368809591	0.0984692575333	0.1876563374	0.200687481667	0.0	0.191677830933	0.099322435	0.205666805067	0.716075582967
JmjMutLsR	0.508315894	0.517275551333	0.5476611624	0.556193062933	0.545659243867	0.539254852067	0.511098069967	0.1706503398	0.100300148867	0.0797236303333	0.191677830933	0.0	0.206383005133	0.156153582	0.735275341967
Zh11WtLsR	0.5290971674	0.534384742067	0.568129305133	0.575928790867	0.5686805978	0.554750160133	0.529308259633	0.102087184	0.186408532667	0.197120950267	0.099322435	0.206383005133	0.0	0.225185965267	0.734006984233
SdgMutLsR	0.520556315933	0.525393573467	0.558255079067	0.572293607133	0.557659913067	0.552407326267	0.514325534567	0.198840713133	0.147561306067	0.184811645933	0.205666805067	0.156153582	0.225185965267	0.0	0.718400600633
LsBs	0.5119231403	0.508854551967	0.505504276367	0.5141333213	0.505824688833	0.5386809751	0.4778412472	0.729586256167	0.752762564033	0.746757739167	0.716075582967	0.735275341967	0.734006984233	0.718400600633	0.0
