PC1	PC2	PC3	PC4	group	compartment
LsBs01	-0.274671504046802	-0.0126838578252048	-0.50904009810698	0.0556236649539901	Bulksoil	BulkSoil
LsBs02	-0.304177090047886	-0.0125360683908183	-0.510289571883658	0.0733876690520718	Bulksoil	BulkSoil
LsBs03	-0.334308251999612	-0.0163928783730435	-0.461172312358179	0.0439261428880367	Bulksoil	BulkSoil
LsBs04	-0.30398512475407	-0.0192464675897759	-0.514319535669227	0.0554674850800886	Bulksoil	BulkSoil
LsBs05	-0.355919843779379	-0.0190470353296506	-0.385196050475014	0.0092169422278597	Bulksoil	BulkSoil
LsBs06	-0.348829075196577	-0.0179726152773431	-0.431939548235994	0.0505435099400459	Bulksoil	BulkSoil
DjWtLsR01	0.367502221754227	0.04579714536967	0.015357756441154	-0.0101593707076526	DJ-WT	Rt_WT
DjWtLsR02	0.3446972112224	0.184093139414011	-0.0177801547899434	-0.0660338437257228	DJ-WT	Rt_WT
DjWtLsR03	0.32560035614597	0.168476741898579	-0.0605251770742998	-0.107667397461419	DJ-WT	Rt_WT
DjWtLsR04	0.199139160996906	0.282240001476249	-0.158599829446151	-0.263116496949254	DJ-WT	Rt_WT
DjWtLsR05	0.322533347715507	0.176312475557253	-0.0589754571238942	-0.0802296553301278	DJ-WT	Rt_WT
DjWtLsR06	0.332834812673068	0.238796099373522	-0.068233103527543	-0.090312706028768	DJ-WT	Rt_WT
DjWtLsR07	0.338299512948861	0.117388987422232	0.00325812490663506	-0.0496432159960979	DJ-WT	Rt_WT
DjWtLsR08	0.334621517326884	0.153596452327929	-0.0389717424349837	-0.077324518680968	DJ-WT	Rt_WT
DjWtLsR09	0.382878444080307	0.119076248964501	-0.0243132525670894	-0.0164393140968555	DJ-WT	Rt_WT
DjWtLsR10	0.345056614995294	0.222157427668847	-0.0375947874097426	-0.0488439429375654	DJ-WT	Rt_WT
DjWtLsR11	0.326569400564294	0.0869431370129565	-0.0252112343281688	0.0438398268136406	DJ-WT	Rt_WT
DjWtLsR12	0.370913361607183	0.132734814188906	-0.00866667136936427	-0.042489448012106	DJ-WT	Rt_WT
DjWtLsR13	0.313690410363654	0.0112363111683409	-0.0101627463658102	0.0475811625370342	DJ-WT	Rt_WT
DjWtLsR14	0.35254766050431	0.134860260450893	0.00653004212226723	-0.0235136769604282	DJ-WT	Rt_WT
DjWtLsR15	0.353270137804204	-0.0419339072896813	0.018861541234707	0.134867695720427	DJ-WT	Rt_WT
DjWtLsRs01	-0.31003833478199	0.00436901237093257	0.0340091217456819	0.0118684200498083	DJ-WT	Rs_WT
DjWtLsRs02	-0.344993326843326	0.0480612054653595	0.0824496114809312	-0.0309979462371618	DJ-WT	Rs_WT
DjWtLsRs03	-0.323620212993233	0.0428759130209427	0.0393648182544581	-0.00938968456897409	DJ-WT	Rs_WT
DjWtLsRs04	-0.330528590704092	0.0255193796966491	-0.0265747343856135	0.0387227649521776	DJ-WT	Rs_WT
DjWtLsRs05	-0.354837582249655	0.0122501241420343	-0.0336375328879395	0.0320216576063135	DJ-WT	Rs_WT
DjWtLsRs06	-0.326449432490174	0.0242698199492098	-0.0655626986554508	0.0414778369747118	DJ-WT	Rs_WT
DjWtLsRs07	-0.370068627379819	0.0243512477766823	-0.0132559566185446	0.00472059653293946	DJ-WT	Rs_WT
DjWtLsRs08	-0.315364530280545	0.0190889677294249	0.0480493980323989	0.00707753759538726	DJ-WT	Rs_WT
DjWtLsRs09	-0.298556556077271	-0.0122510187726159	-0.110187022560197	0.0714456636160948	DJ-WT	Rs_WT
DjWtLsRs10	-0.313355693785448	0.0378451016529163	0.0295193163170377	-0.00793115960259952	DJ-WT	Rs_WT
DjWtLsRs11	-0.347028811983371	0.0125603156099395	-0.0132730832035472	0.0354837488880599	DJ-WT	Rs_WT
DjWtLsRs12	-0.365190367813786	0.0142923428824391	0.0754613590639606	-0.0184186023665001	DJ-WT	Rs_WT
DjWtLsRs13	-0.360889675621089	0.0165747183287303	0.0636641229189736	-0.00932757433395376	DJ-WT	Rs_WT
DjWtLsRs14	-0.295463963593183	0.0202873198856034	0.0238749147561467	0.0230548776985494	DJ-WT	Rs_WT
DjWtLsRs15	-0.291960816139562	0.0010668722574367	-0.110736885289737	0.0734260211595702	DJ-WT	Rs_WT
Zh11WtLsR01	0.358193834207618	0.138840742635083	-0.0127489297428293	-0.0778390686019049	ZH11-WT	Rt_WT
Zh11WtLsR02	0.327031804435315	-0.0107104056732301	-0.0256786935702762	-0.0261375374522985	ZH11-WT	Rt_WT
Zh11WtLsR03	0.353291314149927	0.0589370096298771	-0.005536433720957	0.0361477899741048	ZH11-WT	Rt_WT
Zh11WtLsR04	0.281019091927085	0.270351036747458	-0.105246741622669	-0.176092075978599	ZH11-WT	Rt_WT
Zh11WtLsR05	0.337631322815199	0.229083780213111	-0.0496975054287996	-0.148244547634227	ZH11-WT	Rt_WT
Zh11WtLsR06	0.253857817474538	0.321117057052211	-0.125346689346305	-0.256188370798505	ZH11-WT	Rt_WT
Zh11WtLsR07	0.292273025336257	0.188428396193668	-0.0668030579701076	-0.161569051591185	ZH11-WT	Rt_WT
Zh11WtLsR08	0.331495694568568	-0.116641447852075	-0.0108294108070005	-0.0609221671578809	ZH11-WT	Rt_WT
Zh11WtLsR09	0.28527574174205	0.110917324009078	-0.0345387447348264	-0.00977578577640589	ZH11-WT	Rt_WT
Zh11WtLsR10	0.334271837659081	0.0965109721677707	-0.0327184678769772	-0.006085078967299	ZH11-WT	Rt_WT
Zh11WtLsR11	0.336018637332881	0.17159390878139	-0.0336024188460145	-0.0420575373164854	ZH11-WT	Rt_WT
Zh11WtLsR12	0.314735276041723	0.185337367811167	-0.0239241595051181	-0.0553989220162312	ZH11-WT	Rt_WT
Zh11WtLsR13	0.314904071680611	0.242237645349201	-0.050470606360014	-0.0959205487595682	ZH11-WT	Rt_WT
Zh11WtLsR14	0.254075073127849	0.275187737864047	-0.042113270091008	-0.143654645774547	ZH11-WT	Rt_WT
Zh11WtLsR15	0.345224888901148	0.0592159542996955	-0.01515845197399	-0.0278495584831587	ZH11-WT	Rt_WT
Zh11WtLsRs01	-0.304482195877444	0.0377289980960812	0.135462753311759	-0.0310760147339798	ZH11-WT	Rs_WT
Zh11WtLsRs02	-0.279304436273487	-0.0213036866223436	-0.0605578309833845	0.0593350059428445	ZH11-WT	Rs_WT
Zh11WtLsRs03	-0.288725881900126	0.0642565665474188	0.138643912112917	-0.0601386573882396	ZH11-WT	Rs_WT
Zh11WtLsRs04	-0.293927451033839	0.0343909812078442	0.0497134247630478	0.00151585866563194	ZH11-WT	Rs_WT
Zh11WtLsRs05	-0.380870796421975	0.00893398549404233	-0.0132353252317975	0.0243490239954367	ZH11-WT	Rs_WT
Zh11WtLsRs06	-0.300719180253789	0.0547275071111319	0.104878223980199	-0.0510878506174659	ZH11-WT	Rs_WT
Zh11WtLsRs07	-0.380076475653508	0.0186876647850734	0.0592495705361472	-0.0174233596383527	ZH11-WT	Rs_WT
Zh11WtLsRs08	-0.29313626748011	-0.0404024267538409	-0.0242171488327051	0.0177045068880464	ZH11-WT	Rs_WT
Zh11WtLsRs09	-0.335791611047413	-0.00482426821161368	-0.0666565377434095	0.0403850657543144	ZH11-WT	Rs_WT
Zh11WtLsRs10	-0.350926180710115	-0.0201296877730512	0.0266214463734024	0.00786291613807106	ZH11-WT	Rs_WT
Zh11WtLsRs11	-0.295991570298001	0.00809297073679555	-0.0276995978769899	0.0527100465419079	ZH11-WT	Rs_WT
Zh11WtLsRs12	-0.267849591911556	-0.00741146358163392	-0.0298112736346492	0.0390196885568697	ZH11-WT	Rs_WT
Zh11WtLsRs13	-0.328302315634383	0.04703202290516	0.109881879483504	-0.0345436700421144	ZH11-WT	Rs_WT
Zh11WtLsRs14	-0.25388529849672	0.0216563967723314	0.154182176020959	-0.0543715058312053	ZH11-WT	Rs_WT
Zh11WtLsRs15	-0.206961656591128	0.0375905334207053	0.052130323468422	-0.0264868426270819	ZH11-WT	Rs_WT
NipWtLsR01	0.367929681179386	0.115445077569169	0.0395510912427836	0.0869481072011682	Nip-WT	Rt_WT
NipWtLsR02	0.366707045133273	0.0789707710966983	0.00456627546296517	-0.012949938054951	Nip-WT	Rt_WT
NipWtLsR03	0.354184246521525	0.128156925785252	0.0122311627747578	-0.00703196960122074	Nip-WT	Rt_WT
NipWtLsR04	0.31694738441882	0.227264080949864	-0.0394138650911089	-0.00538560095142454	Nip-WT	Rt_WT
