id,PC,Phylum,Class,Order,Family,Genus,weight,color,DclMut1,DclMut2,JmjMut,SdgMut
ASV_10,Gammaproteobacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,1.007155082,#F46D43,DclMut1LsR_NipWtLsR_D,DclMut2LsR_NipWtLsR_D,JmjMutLsR_DjWtLsR_D,SdgMutLsR_Zh11WtLsR_D
ASV_100,Bacteroidetes,Bacteroidetes,Bacteroidia,Bacteroidales,Unclassified,Unclassified,0.00849891777777778,#ABDDA4,DclMut1LsR_NipWtLsR_N,DclMut2LsR_NipWtLsR_N,JmjMutLsR_DjWtLsR_E,SdgMutLsR_Zh11WtLsR_E
ASV_1007,Actinobacteria,Actinobacteria,Actinobacteria,Unclassified,Unclassified,Unclassified,0.0722363855555556,#E6F598,DclMut1LsR_NipWtLsR_N,DclMut2LsR_NipWtLsR_N,JmjMutLsR_DjWtLsR_E,SdgMutLsR_Zh11WtLsR_N
ASV_1009,Low abundance,Ignavibacteriae,Ignavibacteria,Ignavibacteriales,Ignavibacteriaceae,Ignavibacterium,0.0168710795555556,#5E4FA2,DclMut1LsR_NipWtLsR_N,DclMut2LsR_NipWtLsR_N,JmjMutLsR_DjWtLsR_N,SdgMutLsR_Zh11WtLsR_N
ASV_101,Firmicutes,Firmicutes,Clostridia,Clostridiales,Clostridiaceae1,Clostridiumsensustricto,0.0941072704444444,#FEE08B,DclMut1LsR_NipWtLsR_E,DclMut2LsR_NipWtLsR_E,JmjMutLsR_DjWtLsR_N,SdgMutLsR_Zh11WtLsR_N
ASV_1014,Firmicutes,Firmicutes,Clostridia,Clostridiales,Clostridiaceae1,Clostridiumsensustricto,0.00824264844444444,#FEE08B,DclMut1LsR_NipWtLsR_N,DclMut2LsR_NipWtLsR_N,JmjMutLsR_DjWtLsR_N,SdgMutLsR_Zh11WtLsR_D
ASV_1027,Bacteroidetes,Bacteroidetes,Bacteroidia,Bacteroidales,Paludibacteraceae,Paludibacter,0.00891010955555556,#ABDDA4,DclMut1LsR_NipWtLsR_N,DclMut2LsR_NipWtLsR_N,JmjMutLsR_DjWtLsR_N,SdgMutLsR_Zh11WtLsR_D
ASV_10277,Gammaproteobacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylococcaceae,Methylomarinum,0.0164321573333333,#F46D43,DclMut1LsR_NipWtLsR_N,DclMut2LsR_NipWtLsR_E,JmjMutLsR_DjWtLsR_E,SdgMutLsR_Zh11WtLsR_E
ASV_1033,Spirochaetes,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Treponema,0.266877106,#66C2A5,DclMut1LsR_NipWtLsR_D,DclMut2LsR_NipWtLsR_N,JmjMutLsR_DjWtLsR_N,SdgMutLsR_Zh11WtLsR_D
ASV_10346,Alphaproteobacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Pleomorphomonadaceae,Pleomorphomonas,0.00560755777777778,#FDAE61,DclMut1LsR_NipWtLsR_N,DclMut2LsR_NipWtLsR_E,JmjMutLsR_DjWtLsR_N,SdgMutLsR_Zh11WtLsR_D
ASV_104,Bacteroidetes,Bacteroidetes,Flavobacteriia,Flavobacteriales,Weeksellaceae,Chryseobacterium,0.0216480828888889,#ABDDA4,DclMut1LsR_NipWtLsR_N,DclMut2LsR_NipWtLsR_N,JmjMutLsR_DjWtLsR_N,SdgMutLsR_Zh11WtLsR_D
ASV_10477,Gammaproteobacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylococcaceae,Unclassified,0.0366112897777778,#F46D43,DclMut1LsR_NipWtLsR_N,DclMut2LsR_NipWtLsR_N,JmjMutLsR_DjWtLsR_E,SdgMutLsR_Zh11WtLsR_E
ASV_1049,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,0.00250791777777778,#3288BD,DclMut1LsR_NipWtLsR_N,DclMut2LsR_NipWtLsR_N,JmjMutLsR_DjWtLsR_N,SdgMutLsR_Zh11WtLsR_N
